Part Number,Volume Discount,Days to Ship,RoHS,Roller Type,Outer Diameter D (mm),Outer Ring Width C (mm),Thread (mm),Material,Roller Guiding Method,Basic Dynamic Load Rating (kN),Basic Static Load Rating (kN),Allowable Rotational Speed (rpm),Sealing Structure,Track Load Capacity (kN),Max. Allowable Load (kN)
,Available,4 Days,10,Cylindrical Outer Ring,32,14,M12x1.5,Carbon Steel,With Cage,7.87,9.79,14000,Without Seal,7.45,9.37
,,22 Days,10,Cylindrical Outer Ring,32,14,M12x1.5,Stainless Steel,With Cage,7.87,9.79,14000,Without Seal,7.45,9.37
,,22 Days,10,Spherical Outer Ring,32,14,M12x1.5,Stainless Steel,With Cage,7.87,9.79,14000,Without Seal,2.74,9.37
,,5 Days,10,Cylindrical Outer Ring,32,14,M12x1.5,Stainless Steel,With Cage,7.87,9.79,9800,UU: With Seal,7.45,9.37
,,5 Days,10,Spherical Outer Ring,32,14,M12x1.5,Stainless Steel,With Cage,7.87,9.79,9800,UU: With Seal,2.74,9.37
,Available,4 Days,10,Spherical Outer Ring,32,14,M12x1.5,Carbon Steel,With Cage,7.87,9.79,14000,Without Seal,2.74,9.37
,Available,Same DayStock,10,Cylindrical Outer Ring,32,14,M12x1.5,Carbon Steel,With Cage,7.87,9.79,9800,UU: With Seal,7.45,9.37
,,5 Days,10,Spherical Outer Ring,32,14,M12x1.5,Carbon Steel,With Cage,7.87,9.79,9800,UU: With Seal,2.74,9.37
,,10 Days,10,Cylindrical Outer Ring,32,14,M12x1.5,Carbon Steel,Full Roller Type,13.4,19.8,5800,Without Seal,7.45,9.37
,,4 Days,10,Cylindrical Outer Ring,32,14,M12x1.5,Carbon Steel,Full Roller Type,13.4,19.8,4060,UU: With Seal,7.45,9.37
,,4 Days,10,Spherical Outer Ring,32,14,M12x1.5,Carbon Steel,Full Roller Type,13.4,19.8,4060,UU: With Seal,2.74,9.37
,Available,Same DayStock,10,Cylindrical Outer Ring,30,14,M12x1.5,Carbon Steel,With Cage,7.87,9.79,14000,Without Seal,7.06,9.37
,,4 Days,10,Cylindrical Outer Ring,30,14,M12x1.5,Stainless Steel,With Cage,7.87,9.79,14000,Without Seal,7.06,9.37
,,4 Days,10,Spherical Outer Ring,30,14,M12x1.5,Stainless Steel,With Cage,7.87,9.79,14000,Without Seal,2.45,9.37
