Type,[ M ]Material,[ H ]Hardness,[ S ]Surface Treatment,Column 5,Column 6
Type,[ M ]Material,[ H ]Hardness,[ S ]Surface Treatment,,
D Tol. g6,D Tol. h5,D Tol. f8,,,
"<font class=""fontType"">SFJ</font>","<font class=""fontType"">SFU</font>",-,52100 Bearing Steel Equivalent,"Effective Hardened Depth of Induction Hardened >><a href=""//us.misumi-ec.com/pdf/fa/2010/p0103.pdf"" target=""_blank""><u>Click here</u></a><br/>52100 Bearing Steel Equivalent 58HRC~<br/>SUS440C(13Cr) Stainless Steel Equivalent 56HRC~",-
"<font class=""fontNote"">ZSFJ</font>",-,-,,,
"<font class=""fontType"">SSFJ</font>","<font class=""fontType"">SSFU</font>",-,SUS440C(13Cr) Stainless Steel Equivalent,,
"<font class=""fontType"">PSFJ</font>","<font class=""fontType"">PSFU</font>",-,52100 Bearing Steel Equivalent,Hard Chrome Plating<br/>Plating Hardness: HV750 ~ Plating Thickness: 5µ or More,
"<font class=""fontType"">PSSFJ</font>","<font class=""fontType"">PSSFU</font>",-,SUS440C(13Cr) Stainless Steel Equivalent,,
"<font class=""fontType"">RSFJ</font>",-,-,52100 Bearing Steel Equivalent,Low Temp. Black Chrome Plating,
"<font class=""fontNote"">RSSFJ</font>",-,-,SUS440C(13Cr) Stainless Steel Equivalent,,
-,-,"<font class=""fontType"">PSFG</font>",1045 Carbon Steel Equivalent,-,Hard Chrome Plating<br/>Plating Hardness: HV750 ~ Plating Thickness: 10µ or More
-,-,"<font class=""fontType"">PSSFG</font>",304 Stainless Steel,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
