C,D,D - f8,D - g6,D - h5,L - 1 mm Increment,Part Number D Tolerance,Part Number Type
0.2 or Less,3,—,-0.002,0,10–400,D Tolerance h5,D Tolerance g6
0.2 or Less,3,—,-0.008,-0.004,10–400,SFU,SFJ
0.2 or Less,4,—,-0.004,0,10–400,SSFU,SSFJ
0.2 or Less,5,—,-0.012,-0.005,10–400,PSFU,PSFJ
0.5 or Less,6,-0.01,,,15–900,PSSFU,PSSFJ
0.5 or Less,6,-0.028,,,15–900,,RSFJ (D≦30、L≦500)
0.5 or Less,8,-0.013,-0.005,0,15–1100,,RSSFJ (D≦30、L≦500)
0.5 or Less,10,-0.035,-0.014,-0.006,15–1200,,
0.5 or Less,12,-0.016,-0.006,0,15–1400,,
0.5 or Less,13,-0.043,-0.017,-0.008,15–1400,,D Tolerance f8
0.5 or Less,15,,,,15–1400,,PSFG
0.5 or Less,16,,,,30–1400,,PSSFG
0.5 or Less,18,,,,30–1400,,
1.0 or Less,20,-0.020,-0.007,0,30–1400,,
1.0 or Less,25,-0.053,-0.02,-0.009,35–1400,,
1.0 or Less,30,,,,35–1500,,
1.0 or Less,35,-0.025,-0.009,0,35–1500,,
1.0 or Less,40,-0.064,-0.025,-0.011,50–1500,,
1.0 or Less,50,,,,65–1500,,
